topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label,dominant_category_share
47,114,30178.5,0.016144283101380073,gaming,"{'gaming': 96, 'entertainment': 9, 'research_science': 4, 'food': 3, 'tech': 2}",47_prank_wife_gold_tesla,0.8421052631578947
86,69,27721.0,0.022089648500483713,tech,"{'tech': 63, 'food': 2, 'entertainment': 2, 'gaming': 1, 'fitness': 1}",86_ipad_apple_pad_tablet,0.9130434782608695
40,129,23083.0,0.015843621399176954,entertainment,"{'entertainment': 122, 'gaming': 4, 'tech': 2, 'fitness': 1}",40_talent_superstar_simon_shows,0.9457364341085271
43,166,22897.5,0.03013237738609937,fitness,"{'fitness': 154, 'research_science': 5, 'entertainment': 3, 'gaming': 2, 'tech': 2}",43_gym_trainer_workout_strength,0.927710843373494
54,69,20978.0,0.05954193308298657,entertainment,"{'entertainment': 66, 'gaming': 3}",54_review_facebook page_facebook_website,0.9565217391304348
74,60,20960.5,0.011440741858866347,entertainment,"{'entertainment': 47, 'tech': 6, 'gaming': 5, 'research_science': 2}",74_united_highlights_match_cup,0.7833333333333333
72,73,18732.0,0.03275652526187858,tech,"{'tech': 65, 'fitness': 4, 'gaming': 2, 'entertainment': 1, 'research_science': 1}",72_developers_developer_development_programming,0.8904109589041096
67,82,17274.0,0.04825759525927485,food,"{'food': 79, 'research_science': 3}",67_bread_baking_cookbook_recipes,0.9634146341463414
49,108,16432.5,0.020401418301412497,fitness,"{'fitness': 75, 'research_science': 18, 'entertainment': 8, 'food': 5, 'gaming': 2}",49_pregnancy_pregnant_nutrition_foods,0.6944444444444444
48,111,13383.0,0.05936034829202947,tech,"{'tech': 102, 'research_science': 8, 'fitness': 1}",48_signal_spectrum_radio_signals,0.918918918918919
55,86,9261.5,0.009392205578325052,tech,"{'tech': 80, 'research_science': 3, 'gaming': 1, 'entertainment': 1, 'fitness': 1}",55_js_animations_tutorial_framework,0.9302325581395349
